"Record ID","Deal Name","Project ID","Tier 1 (Reseller)","Tier 2 (Reseller Sales Org)","AADT (site)","Deal Stage","State (install site)","Country (install site)","Latitude/Longitude (install site)","Postal Code (install site)"
"16907841113","Thunder Road Partners, Inc. - 15003 US 52","","Apex Omnisource","SVR-Surge Venture Resellers","105000","1. Qualifications","MN","USA","44.03812854260404, -92.48866235717904","55901"
"16907853316","Thunder Road Partners, Inc. - 3214 Genesee St","","Apex Omnisource","SVR-Surge Venture Resellers","140000","3. Contracts & Committments","NY","USA","42.92548126449174, -78.76706666147793","14225"
"16907853102","Thunder Road Partners, Inc. - 1397 Broadway","","Apex Omnisource","SVR-Surge Venture Resellers","85000","3. Contracts & Committments","NY","USA","42.72423110812441, -73.70086097677068","12189"
"16907853061","TDD - 1213 W Morehead St, Charlotte, NC 28208","","TD Synnex","TDD","153151","3. Contracts & Committments","NC","USA","35.22898789522489, -80.86154083736432","28208"
"16907840546","Thunder Road Partners, Inc. - 8945 S Fwy Dr","","Apex Omnisource","SVR-Surge Venture Resellers","75000","3. Contracts & Committments","OH","USA","41.32740423228895, -81.5137492218509","44056"
"16907852620","Thunder Road Partners, Inc. - 1749 Main St","","Apex Omnisource","SVR-Surge Venture Resellers","100000","3. Contracts & Committments","OH","USA","41.13002889880592, -81.48097779638256","44221"
"16907840110","Thunder Road Partners, Inc. - 1045 Central Ave","","Apex Omnisource","SVR-Surge Venture Resellers","120000","3. Contracts & Committments","NY","USA","42.68642933776498, -73.79671403837152","12205"
"16907852151","SVP-Carter Pritchett Advertising, Inc. - I-95 at Flaglet Street","","Apex Omnisource","SVR-Surge Venture Resellers","100000","1. Qualifications","FL","USA","25.77333215	-80.19817159","33130"
"16907839595","Thunder Road Partners, Inc. - 4109 N Davis Hwy","","Apex Omnisource","SVR-Surge Venture Resellers","110000","3. Contracts & Committments","FL","USA","30.456599541182374, -87.22353748217466","32503"
"16907839335","TDD - 1934 E Taft Ave, Orange, CA 92865","","TD Synnex","TDD","243980","3. Contracts & Committments","CA","USA","33.81738489827309, -117.83240704716626","92865"
"16907531542","Vision-GMJ Partners - Outfront board 026886AO","","Apex Omnisource","MCSS, LLC","145158","1. Qualifications","IN","United States","39.74344, -86.26506","46241"
"16907640479","Vision-GMJ Partners - Outfront board 0003522O","","Apex Omnisource","MCSS, LLC","161354","1. Qualifications","MI","United States","42.37967, -83.03215","48211"
"16907531097","Vision-GMJ Partners - Outfront board 0003522O","","Apex Omnisource","MCSS, LLC","181561","3. Contracts & Committments","MI","United States","42.24243, -83.32491","48242"
"16897999453","Boulder Creek Communications LLC - 627 W McCarty St #1a","","Apex Omnisource","RevStream","67000","3. Contracts & Committments","MO","USA","38.580683023444855, -92.18172769001187","65101"
"16897888875","Boulder Creek Communications LLC - 1520 Texas Ave","","Apex Omnisource","RevStream","110000","3. Contracts & Committments","LA","USA","32.49766662373952, -93.75596878167522","71103"
"16897888789","(CANCELLED)Boulder Creek Communications LLC - 285 Lake Mirror Rd","","Apex Omnisource","RevStream","218000"," Deal Lost","GA","USA","33.62868845693599, -84.39918630587573","30297"
"16897888655","Boulder Creek Communications LLC - 1735 Breckinridge Plaza","","Apex Omnisource","RevStream","190000","1. Qualifications","GA","USA","33.96254035628051, -84.09948770323894","30096"
"16897999160","Boulder Creek Communications LLC - 3223 E Independence Blvd","","Apex Omnisource","RevStream","148000","3. Contracts & Committments","NC","USA","35.20254414294719, -80.78856604020943","28205"
"16897999018","Boulder Creek Communications LLC - 969 E 7th St","","Apex Omnisource","RevStream","210000","3. Contracts & Committments","NC","USA","35.22215070970475, -80.83019937761031","28204"
